location_id,location_name,year,sdi
142,Iran (Islamic Republic of),1995,0.519987983225772
142,Iran (Islamic Republic of),1996,0.530757828509217
142,Iran (Islamic Republic of),1997,0.540355523007052
142,Iran (Islamic Republic of),1998,0.54950259368348
142,Iran (Islamic Republic of),1999,0.559301855894421
143,Iraq,1990,0.433402732937295
143,Iraq,1991,0.434484337224425
143,Iraq,1992,0.436151844388783
143,Iraq,1993,0.43942078651499
143,Iraq,1994,0.442438669387835
143,Iraq,1995,0.444425345478281
143,Iraq,1996,0.447563333575141
143,Iraq,1997,0.452210576257074
143,Iraq,1998,0.459848070413615
143,Iraq,1999,0.468560668245233
85,Israel,1990,0.729507076469575
85,Israel,1991,0.73376217455191
85,Israel,1992,0.73848517511259
85,Israel,1993,0.743064469927069
85,Israel,1994,0.747684536790608
85,Israel,1995,0.752198162431526
85,Israel,1996,0.756272297163167
85,Israel,1997,0.759408869779597
85,Israel,1998,0.762140311885377
85,Israel,1999,0.765311331768683
67,Japan,1990,0.795726063584725
67,Japan,1991,0.80001867144221706
67,Japan,1992,0.804354989803881
67,Japan,1993,0.808111284157413
67,Japan,1994,0.811612643648738
67,Japan,1995,0.815336126791644
67,Japan,1996,0.818547038116737
67,Japan,1997,0.821031050483249
67,Japan,1998,0.823121644381351
67,Japan,1999,0.824946528356615
144,Jordan,1990,0.552456358301966
144,Jordan,1991,0.555840979366601
144,Jordan,1992,0.55989081821894
144,Jordan,1993,0.564047979828964
144,Jordan,1994,0.568410847635646
144,Jordan,1995,0.57305655787178
144,Jordan,1996,0.577441315969219
144,Jordan,1997,0.581838488111577
144,Jordan,1998,0.586146427283291
144,Jordan,1999,0.590371290094809
36,Kazakhstan,1990,0.595235014624033
36,Kazakhstan,1991,0.596182283815601
36,Kazakhstan,1992,0.600968732712463
36,Kazakhstan,1993,0.608275223035642
36,Kazakhstan,1994,0.615808756160346
36,Kazakhstan,1995,0.623563469345543
36,Kazakhstan,1996,0.630233949042242
36,Kazakhstan,1997,0.634149087542641
36,Kazakhstan,1998,0.637883654752521
36,Kazakhstan,1999,0.643167098403439
145,Kuwait,1990,0.687170823125099
145,Kuwait,1991,0.690125250152745
145,Kuwait,1992,0.689745972934285
145,Kuwait,1993,0.688344007898564
145,Kuwait,1994,0.687916923270775
145,Kuwait,1995,0.690403197432186
145,Kuwait,1996,0.696594016262476
145,Kuwait,1997,0.707419699796882
145,Kuwait,1998,0.719833546115801
145,Kuwait,1999,0.73027891453361
37,Kyrgyzstan,1990,0.52283542623469
37,Kyrgyzstan,1991,0.5266057803255
37,Kyrgyzstan,1992,0.530640411213356
37,Kyrgyzstan,1993,0.53588959970615
37,Kyrgyzstan,1994,0.540467519010556
37,Kyrgyzstan,1995,0.543160277589386
37,Kyrgyzstan,1996,0.545738546247561
37,Kyrgyzstan,1997,0.547602575412766
37,Kyrgyzstan,1998,0.546934636042353
