population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),40,Turkmenistan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1991,37.67304074131781,42.50713833719957,33.33763699342664
1,All Population,2,DALYs (Disability-Adjusted Life Years),40,Turkmenistan,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1991,69.7870291236801,78.5422994882414,61.77881376170683
1,All Population,2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1991,232931.77660764375,315112.89732299163,177386.2552326323
1,All Population,2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1991,27.05859900728381,36.60519683000787,20.606134635844217
1,All Population,2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1991,46.47294729405384,62.7789154217888,35.10048586865185
1,All Population,2,DALYs (Disability-Adjusted Life Years),38,Mongolia,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,715.8973407050271,953.1425765201616,489.5618041009761
1,All Population,2,DALYs (Disability-Adjusted Life Years),38,Mongolia,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,33.08716610881599,44.05210769975693,22.626446295873052
1,All Population,2,DALYs (Disability-Adjusted Life Years),38,Mongolia,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,63.866556311036625,85.98403602206798,45.56729433257355
1,All Population,2,DALYs (Disability-Adjusted Life Years),67,Japan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,279976.63005672256,294639.865524594,261493.22673843964
1,All Population,2,DALYs (Disability-Adjusted Life Years),67,Japan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,226.35828200923777,238.2133600153265,211.41463682012775
1,All Population,2,DALYs (Disability-Adjusted Life Years),67,Japan,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,164.81615554362236,173.7252934912389,153.5236222401404
1,All Population,2,DALYs (Disability-Adjusted Life Years),16,Philippines,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,4082.852566346075,5381.0462357105325,3048.9978529697723
1,All Population,2,DALYs (Disability-Adjusted Life Years),16,Philippines,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,6.455742240395762,8.508425645280708,4.821027433745574
1,All Population,2,DALYs (Disability-Adjusted Life Years),16,Philippines,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,12.231855851540434,16.98109911146827,9.129487121681723
1,All Population,2,DALYs (Disability-Adjusted Life Years),165,Pakistan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1991,33218.57019838572,44391.74668891093,24066.405837187252
1,All Population,2,DALYs (Disability-Adjusted Life Years),165,Pakistan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1991,29.183105475990576,38.99893999498205,21.142766102821664
1,All Population,2,DALYs (Disability-Adjusted Life Years),165,Pakistan,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1991,55.41764931741187,73.5204996382805,40.3477375467175
1,All Population,2,DALYs (Disability-Adjusted Life Years),13,Malaysia,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,2588.2947229042643,3488.5861235022808,1644.0036266776156
1,All Population,2,DALYs (Disability-Adjusted Life Years),13,Malaysia,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,14.6204786479619,19.70594711602624,9.286469468995255
1,All Population,2,DALYs (Disability-Adjusted Life Years),13,Malaysia,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,28.62443315789196,38.77949290075514,17.796453431336797
