year,age_id,age_name,countries_with_dalys,countries_with_vlw,total_dalys,total_dalys_lower,total_dalys_upper,total_economic_burden_vlw,total_economic_burden_vlw_lower,total_economic_burden_vlw_upper,total_economic_burden_vlw_trillion,total_economic_burden_vlw_lower_trillion,total_economic_burden_vlw_upper_trillion
1990,18,65-69 years,48,43,196733.05745962542,154655.61875049854,257235.05646337467,15155863565.682068,12099871646.824617,19685820204.68523,0.015155863565682067,0.012099871646824618,0.01968582020468523
1990,19,70-74 years,48,43,165036.27379409265,131178.09006246986,210279.7782936141,18779573536.769325,14998962951.611334,24240624437.976692,0.018779573536769324,0.014998962951611334,0.024240624437976692
1990,20,75-79 years,48,43,117324.61514876553,94361.62009119596,147923.96135044761,22006041953.262722,17669795676.557846,27946768111.98025,0.022006041953262723,0.017669795676557846,0.027946768111980252
1990,30,80-84 years,48,43,65762.25469513709,51715.21976231704,81723.91228568104,19883429745.543137,15093391148.221664,25664139865.51522,0.019883429745543135,0.015093391148221665,0.02566413986551522
1990,31,85-89 years,48,43,24552.369541347947,18860.8533322599,30787.136969403655,12353376445.474201,8983771203.70077,16562599220.53677,0.012353376445474202,0.00898377120370077,0.01656259922053677
1990,32,90-94 years,48,43,5913.800346231848,4300.815470180027,7383.232248913579,4609157166.08594,3062368717.514564,6371622747.902528,0.00460915716608594,0.003062368717514564,0.006371622747902528
1990,235,95+ years,48,43,1080.732141723614,746.8559917374376,1444.6550929128912,1209695259.4843242,754410892.5625029,1828117244.0488296,0.0012096952594843242,7.544108925625028e-4,0.0018281172440488295
1991,1,<5 years,48,48,0,0,0,0,0,0,0,0,0
1991,6,5-9 years,48,48,0,0,0,0,0,0,0,0,0
1991,7,10-14 years,48,48,0,0,0,0,0,0,0,0,0
1991,8,15-19 years,48,48,0,0,0,0,0,0,0,0,0
1991,9,20-24 years,48,44,8386.8971552364,6210.140620917034,10991.096824827704,79290082.24416044,55599136.95467934,108571272.47521137,7.929008224416044e-5,5.559913695467934e-5,1.0857127247521137e-4
1991,10,25-29 years,48,44,11900.884400578389,8662.928096084239,15508.30619343406,129262176.2827714,90897399.69188671,175119375.3174232,1.292621762827714e-4,9.08973996918867e-5,1.751193753174232e-4
1991,11,30-34 years,48,44,20621.51474095739,15327.076022946994,27164.200214482604,274653220.7092304,197310407.72624993,373163521.7627163,2.7465322070923043e-4,1.9731040772624995e-4,3.731635217627163e-4
1991,12,35-39 years,48,44,38702.96443257931,28569.75860745883,51403.81520441016,638328097.9315065,463077633.1280433,868803957.4018201,6.383280979315065e-4,4.630776331280433e-4,8.688039574018201e-4
1991,13,40-44 years,48,44,59854.55704089404,44428.77354925293,78884.42387692512,1403417414.440235,1034395408.6722589,1880347136.23687,0.0014034174144402349,0.0010343954086722588,0.00188034713623687
1991,14,45-49 years,48,44,83898.77363199531,62433.78029744101,108289.1356065528,2446483028.3539104,1852714242.4135787,3226910972.4728446,0.0024464830283539105,0.0018527142424135787,0.003226910972472845
1991,15,50-54 years,48,44,128600.66480778443,97532.3493377985,167202.33690731207,4871924032.780338,3751081668.1403446,6369377646.171273,0.004871924032780338,0.0037510816681403446,0.0063693776461712735
1991,16,55-59 years,48,44,177510.58885237723,138058.1004137902,231352.29462039785,8414403896.576342,6633265307.859679,10990125418.962124,0.008414403896576342,0.006633265307859679,0.010990125418962124
1991,17,60-64 years,48,44,219856.09317582377,174065.89216740135,282006.64701955015,13244595296.016056,10666562449.434519,17128278163.54098,0.013244595296016057,0.010666562449434518,0.01712827816354098
1991,18,65-69 years,48,44,205415.66345000494,161714.20373679366,268231.2501948026,16928929960.895634,13587836664.85832,21954662466.571712,0.016928929960895633,0.01358783666485832,0.02195466246657171
1991,19,70-74 years,48,44,170982.8065741575,135714.27615319032,217518.615606379,20202136575.42018,16161320173.36374,26090088561.141293,0.020202136575420183,0.01616132017336374,0.026090088561141294
1991,20,75-79 years,48,44,121566.79711168645,97236.46193500732,153040.03817222544,23795764057.77417,19022751005.90062,30107093150.597874,0.02379576405777417,0.01902275100590062,0.030107093150597872
