Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
IBRD only,IBD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2973.752604,3082.707097,3166.45961,3284.07078,3410.714349,3582.351301,3793.175823,3997.937257,4032.98047,4192.581209,4487.665469,4706.807271,4939.682788,5276.105979,5779.325245,6326.770997,7063.90772,7812.27374,8429.142515,8662.760882,9347.46589,10063.83171,10688.75045,11198.7987,11551.18995,11675.60965,12128.01635,12790.06553,13691.573,14502.87576,14541.52202,16411.87436,18247.89686,19744.183,20999.02032
IBRD only,IBD,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,2.15061E+13,2.1475E+13,2.14196E+13,2.18442E+13,2.22236E+13,2.29769E+13,2.408E+13,2.52137E+13,2.57072E+13,2.67163E+13,2.82897E+13,2.93335E+13,3.06407E+13,3.24448E+13,3.48983E+13,3.72952E+13,4.02653E+13,4.36717E+13,4.60574E+13,4.69734E+13,5.04184E+13,5.3408E+13,5.61244E+13,5.88624E+13,6.1514E+13,6.40131E+13,6.68857E+13,7.0245E+13,7.36329E+13,7.64571E+13,7.49874E+13,8.0509E+13,8.35535E+13,8.77191E+13,9.157E+13
IDA & IBRD total,IBT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2645.463181,2737.620684,2806.307016,2898.369591,2996.217866,3137.303801,3311.184445,3477.351586,3506.829614,3634.739039,3874.169428,4053.677915,4244.755863,4517.335556,4929.12662,5375.816389,5966.653011,6561.437369,7045.521166,7228.906756,7763.601478,8317.444054,8797.413229,9205.15527,9498.673841,9597.965458,9942.80273,10458.73495,11142.29353,11765.87502,11769.59831,13171.91361,14581.63395,15679.80761,16601.92389
IDA & IBRD total,IBT,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,2.38248E+13,2.38397E+13,2.38368E+13,2.42896E+13,2.46966E+13,2.55452E+13,2.67756E+13,2.80133E+13,2.86058E+13,2.97022E+13,3.13956E+13,3.25637E+13,3.40367E+13,3.60161E+13,3.87118E+13,4.13528E+13,4.45785E+13,4.82487E+13,5.08689E+13,5.20271E+13,5.57756E+13,5.90291E+13,6.1944E+13,6.49576E+13,6.7939E+13,7.07284E+13,7.38717E+13,7.7545E+13,8.12791E+13,8.4431E+13,8.29074E+13,8.87734E+13,9.21832E+13,9.66096E+13,1.00839E+14
IDA blend,IDB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2035.963162,2087.315218,2141.520328,2130.752976,2142.252704,2186.568873,2268.758301,2300.383197,2329.770944,2356.258255,2434.204567,2519.413707,2640.966767,2750.517788,2960.436134,3162.155249,3364.398821,3546.002704,3662.373172,3790.63076,3938.839396,4080.314601,4212.8074,4405.718109,4623.286594,4719.614227,4757.552272,5009.270946,5068.386571,5291.194911,5291.939647,5601.417065,6143.458081,6403.944884,6685.170761
IDA blend,IDB,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,1.12398E+12,1.14752E+12,1.18187E+12,1.17961E+12,1.19359E+12,1.22613E+12,1.28444E+12,1.31509E+12,1.35271E+12,1.3825E+12,1.4319E+12,1.48765E+12,1.57205E+12,1.64229E+12,1.76269E+12,1.86912E+12,1.97659E+12,2.08009E+12,2.1613E+12,2.2814E+12,2.40654E+12,2.50316E+12,2.6142E+12,2.75812E+12,2.91149E+12,3.02614E+12,3.11026E+12,3.20316E+12,3.33667E+12,3.43916E+12,3.39433E+12,3.58041E+12,3.73837E+12,3.83365E+12,3.9814E+12
IDA only,IDX,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,996.3942873,1026.257536,1034.890437,1057.857131,1061.295892,1108.104804,1152.648148,1207.138316,1240.551544,1283.549825,1344.62344,1403.396549,1456.673258,1532.676672,1632.995575,1756.27285,1887.882021,2022.697335,2140.594431,2199.12932,2319.464764,2428.502919,2518.656955,2658.232678,2821.845094,2914.221874,3060.960388,3198.901296,3415.253393,3612.701725,3650.149845,3899.179721,4267.670029,4469.685986,4682.499081
IDA only,IDX,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,1.20258E+12,1.22615E+12,1.24503E+12,1.27633E+12,1.28973E+12,1.3542E+12,1.42408E+12,1.49872E+12,1.56226E+12,1.62055E+12,1.69114E+12,1.76051E+12,1.84269E+12,1.94905E+12,2.07138E+12,2.21045E+12,2.35984E+12,2.5213E+12,2.67705E+12,2.80119E+12,2.98136E+12,3.15071E+12,3.23745E+12,3.36964E+12,3.54804E+12,3.72623E+12,3.91591E+12,4.14068E+12,4.35619E+12,4.58563E+12,4.57799E+12,4.73487E+12,4.94489E+12,5.11136E+12,5.34561E+12
IDA total,IDA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1353.1046,1391.800742,1417.012277,1428.012036,1434.43586,1480.389855,1538.333417,1584.889783,1617.1799,1654.492923,1721.797115,1790.453309,1867.837132,1955.569746,2094.737742,2245.79086,2402.308899,2554.154882,2672.359258,2756.572773,2887.764081,3008.869757,3114.108516,3272.640803,3454.654265,3547.456672,3652.922001,3829.776273,3988.082003,4192.327166,4215.336257,4483.673978,4910.84463,5131.093855,5365.004558
IDA total,IDA,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,2.32564E+12,2.3728E+12,2.42662E+12,2.45448E+12,2.48191E+12,2.57784E+12,2.70571E+12,2.80951E+12,2.90982E+12,2.99694E+12,3.11627E+12,3.24102E+12,3.40765E+12,3.58332E+12,3.826E+12,4.07065E+12,4.32641E+12,4.58987E+12,4.82489E+12,5.06897E+12,5.37291E+12,5.6371E+12,5.83539E+12,6.11169E+12,6.44278E+12,6.73407E+12,7.00537E+12,7.31995E+12,7.66699E+12,7.99591E+12,7.94263E+12,8.28612E+12,8.65279E+12,8.91284E+12,9.29208E+12
Late-demographic dividend,LTE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2912.682785,2989.530606,3057.110924,3235.176887,3421.293871,3655.432469,3878.975054,4120.23654,4234.632532,4446.498984,4833.724168,5160.047443,5538.463753,6026.012907,6653.121564,7372.034605,8391.98197,9435.050092,10385.26326,10778.23278,11728.01776,12806.66582,13699.04112,14484.99324,15033.62829,15128.24639,15650.47623,16552.88373,17894.0809,19204.35483,19498.10077,22182.23805,24475.58294,26380.2249,28233.01135
